Protein.names,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
IGH c590_heavy__IGHV1-2_IGHD1-26_IGHJ4,NA,NA,NA,NA,NA,NA,1071.942817,NA,NA,NA,NA,1522.968952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c594_heavy_IGHV5-51_IGHD3-10_IGHJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20508.22203,NA,34135.51889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c595_heavy_IGHV3-49_IGHD5-12_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29531.44651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c596_heavy__IGHV4-61_IGHD3-10_IGHJ4,NA,NA,NA,NA,7702.8823,NA,NA,NA,NA,NA,NA,NA,NA,9824.162661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c5_heavy_IGHV2-5_IGHD6-19_IGHJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.286349,NA,NA,NA,NA,NA,NA,NA
IGH c601_heavy_IGHV2-5_IGHD4-23_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.286349,NA,NA,NA,NA,NA,NA,NA
IGH c603_heavy_IGHV4-59B_IGHD7-27_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3823.157436,NA,NA
IGH c606_heavy__IGHV4-61_IGHD2-21_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4813.254935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c607_heavy_IGHV4-39_IGHD3-10_IGHJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4069.029117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c616_heavy_IGHV2-5_IGHD5-12_IGHJ3 (IGH c950_heavy_IGHV2-5_IGHD5-12_IGHJ3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.286349,NA,NA,NA,NA,NA,NA,NA
IGH c62_heavy__IGHV1-2_IGHD5-18_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,66003.01809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c632_heavy_IGHV4-39_IGHD3-10_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4813.254935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c633_heavy_IGHV1-24_IGHD7-27_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5318.374453,NA,NA,NA,NA,NA,NA,NA,NA
IGH c65_heavy_IGHV2-70_IGHD3-10_IGHJ6,NA,NA,NA,NA,NA,NA,5871.063013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c660_heavy_IGHV2-5_IGHD3-22_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.286349,NA,NA,NA,NA,NA,NA,NA
IGH c662_heavy_IGHV5-51_IGHD2-15_IGHJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153488.6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c66_heavy__IGHV4-39_IGHD3-10_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4069.029117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c686_heavy_IGHV2-5_IGHD6-13_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.286349,NA,NA,NA,NA,NA,NA,NA
IGH c689_heavy_IGHV1-69_IGHD2-21_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117200.8,NA,NA,NA,NA,88884.46169,NA,NA,NA,NA,NA,NA
IGH c68_heavy_IGHV1-46_IGHD3-10_IGHJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9545.47721
IGH c68_heavy__IGHV5-51_IGHD3-3_IGHJ5,NA,NA,NA,69068.83289,NA,100252.8577,NA,NA,NA,63348.12359,137813.4612,NA,114633.591,NA,20508.22203,NA,34135.51889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106024.6257
IGH c698_heavy_IGHV1-2_IGHD2-2_IGHJ4,NA,NA,NA,NA,NA,1270.285498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492.6583264,NA,NA,NA,532.9824368
IGH c6_heavy_IGHV1-2_IGHD3-16_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,66003.01809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c700_heavy_IGHV2-5_IGHD3-10_IGHJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.286349,NA,NA,NA,NA,NA,NA,NA
IGH c726_heavy_IGHV5-51_IGHD6-6_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5318.374453,NA,NA,NA,NA,NA,NA,NA,NA
IGH c727_heavy_IGHV3-49_IGHD3-22_IGHJ4 (IGH c907_heavy_IGHV3-49_IGHD3-22_IGHJ4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29531.44651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c740_heavy_IGHV1-24_IGHD1-26_IGHJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424.4088548,NA,NA,NA,NA,NA
IGH c757_heavy_IGHV3-48_IGHD4-17_IGHJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86737.54827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c76_heavy_IGHV4-39_IGHD3-10_IGHJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4069.029117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c76_heavy__IGHV2-26_IGHD3-10_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.7757679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c771_heavy_IGHV5-51_IGHD2-15_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20508.22203,NA,34135.51889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c815_heavy_IGHV2-26_IGHD3-16_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318.4106443,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c820_heavy_IGHV2-70_IGHD1-26_IGHJ3,NA,NA,NA,NA,NA,NA,5871.063013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c826_heavy_IGHV5-51_IGHD6-19_IGHJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153488.6531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c82_heavy__IGHV1-69_IGHD3-10_IGHJ6,NA,NA,NA,NA,NA,2656.222586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c839_heavy_IGHV5-51_IGHD3-22_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2816.433328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c849_heavy_IGHV4-4_IGHD4-4_IGHJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9824.162661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c854_heavy_IGHV2-70_IGHD7-27_IGHJ3,NA,NA,NA,NA,NA,NA,5871.063013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c856_heavy_IGHV4-39_IGHD4-17_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4069.029117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c857_heavy_IGHV5-51_IGHD2-2_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5318.374453,NA,NA,NA,NA,NA,NA,NA,NA
IGH c860_heavy_IGHV2-5_IGHD5-5_IGHJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.286349,NA,NA,NA,NA,NA,NA,NA
IGH c872_heavy_IGHV1-18_IGHD3-10_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42158.31204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c873_heavy_IGHV2-5_IGHD3-9_IGHJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.286349,NA,NA,NA,NA,NA,NA,NA
IGH c880_heavy_IGHV4-39_IGHD6-19_IGHJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4813.254935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c889_heavy_IGHV1-2_IGHD3-10_IGHJ3,NA,NA,NA,NA,NA,NA,2488.060182,NA,NA,NA,2863.428907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1816.497079
IGH c916_heavy_IGHV4-4_IGHD3-9_IGHJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1947.307687,NA,NA,NA,NA
IGH c917_heavy_IGHV2-70_IGHD1-26_IGHJ4,NA,NA,NA,NA,NA,NA,5871.063013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c921_heavy_IGHV2-5_IGHD6-13_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.286349,NA,NA,NA,NA,NA,NA,NA
IGH c931_heavy_IGHV2-70_IGHD4-17_IGHJ1,NA,NA,NA,NA,NA,NA,5871.063013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c933_heavy_IGHV4-39_IGHD6-19_IGHJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4613.901204,NA,NA,NA,4813.254935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGH c94_heavy__IGHV1-69_IGHD5-24_IGHJ2,NA,NA,338649.7961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117200.8,NA,NA,NA,NA,88884.46169,NA,NA,NA,NA,NA,NA
IGH c955_heavy_IGHV2-5_IGHD3-16_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1368.286349,NA,NA,NA,NA,NA,NA,NA
IGH c978_heavy_IGHV4-39_IGHD5-24_IGHJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2184.551631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGHV1-58*01_S0503,NA,NA,NA,NA,NA,2656.222586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGHV2-26 protein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.7757679,NA,NA,318.4106443,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1020_light_IGKV3-20_IGKJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53460.04175,NA,NA,NA,NA,NA,NA
IGL c1022_light_IGKV1D-39_IGKJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159385.9892,NA,NA,52113.74436,NA,NA,NA,NA,NA
IGL c102_light_IGLV7-46_IGLJ3,NA,NA,7586.927521,NA,14308.28005,NA,NA,20726.34539,NA,4317.711294,NA,NA,8515.672189,NA,3847.712018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5242.690568,9530.931807,NA,NA
IGL c1031_light_IGLV1-40_IGLJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58760.85779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1044_light_IGKV1D-39_IGKJ2,NA,NA,NA,NA,NA,21227.01562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2885.316685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1059_light_IGLV8-61_IGLJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,785.342625,NA,NA,NA,NA,NA,NA,NA,NA
IGL c107_light_IGKV1D-39_IGKJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5066.677224
IGL c1081_light_IGLV2-14_IGLJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905.7102946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1090_light_IGKV1D-39_IGKJ1 (IGL c3680_light_IGKV1D-39_IGKJ1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50857.66182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1092_light_IGLV3-10_IGLJ2 (IGL c1745_light_IGLV3-10_IGLJ2) (IGL c2284_light_IGLV3-10_IGLJ2) (IGL c2387_light_IGLV3-10_IGLJ2),NA,NA,NA,NA,70076.02131,NA,NA,NA,NA,NA,NA,NA,81442.37586,69356.1893,NA,NA,NA,NA,24912.20776,NA,NA,NA,NA,NA,NA,42594.71922,NA,NA,NA,NA
IGL c1095_light_IGKV1D-39_IGKJ1 (IGL c993_light_IGKV1D-39_IGKJ1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50857.66182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1096_light_IGLV6-57_IGLJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35847.4752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10224.51657,NA,NA
IGL c1098_light_IGLV1-40_IGLJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34419.62079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1102_light_IGLV3-19_IGLJ2,11169.28768,NA,NA,10254.11102,NA,12052.04992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18972.4232,NA,NA,NA,NA,NA
IGL c1123_light_IGLV10-54_IGLJ3,NA,NA,1250.501056,NA,NA,3075.849937,4556.810548,NA,NA,NA,NA,9618.129884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,922.3941711,NA,NA,1131.097833,2905.665528
IGL c1135_light_IGLV6-57_IGLJ7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35847.4752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10224.51657,NA,NA
IGL c1154_light_IGLV2-8_IGLJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10983.86367,NA,NA,NA,NA,NA,6393.58777,6671.71,NA,NA,NA,NA,NA,NA,NA,NA,6527.147381,NA
IGL c1157_light_IGLV3-19_IGLJ2,NA,NA,NA,10254.11102,NA,12052.04992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18972.4232,NA,NA,NA,NA,NA
IGL c115_light_IGLV3-19_IGLJ2,NA,NA,NA,10254.11102,NA,12052.04992,NA,NA,NA,NA,NA,NA,37650.47429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7141.125082,9838.565404,NA,NA,NA
IGL c1165_light_IGLV1-47_IGLJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20508.22203,NA,NA,NA,35394.27369,NA,NA,NA,NA,NA
IGL c1169_light_IGKV2-30_IGKJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53508.66912,NA,NA,188040.8216,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1172_light_IGLV3-19_IGLJ2,NA,NA,NA,10254.11102,NA,12052.04992,NA,NA,NA,NA,NA,NA,37650.47429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7141.125082,9838.565404,NA,NA,NA
IGL c1183_light_IGLV2-11_IGLJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6849.930075,NA,NA,NA,NA,NA,NA,NA,NA,NA,9090.948686,NA
IGL c1185_light_IGLV2-23_IGLJ2,507.4627944,1059.819952,574.0190238,NA,734.460991,1388.293057,813.2441966,1435.578334,NA,899.3912895,732.134987,896.7484398,953.6021534,NA,544.0664243,NA,1155.19755,NA,NA,1198.15,NA,3836.676566,NA,NA,2491.402909,931.4710768,550.0416499,3549.36078,703.4186914,NA
IGL c1188_light_IGKV4-1_IGKJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74128.49372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84651.04702,NA,NA,NA,NA
IGL c1190_light_IGKV3-15_IGKJ1 (IGL c1402_light_IGKV3-15_IGKJ1) (IGL c276_light_IGKV3-15_IGKJ1),NA,NA,NA,47688.52362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1191_light_IGKV1-5_IGKJ5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9693.31608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1198_light_IGLV2-14_IGLJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,905.7102946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c119_light_IGKV2-28_IGKJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116184.0194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1212_light_IGLV2-23_IGLJ3 (IGL c463_light_IGLV2-23_IGLJ3) (IGL c749_light_IGLV2-23_IGLJ3),507.4627944,1059.819952,574.0190238,NA,734.460991,1388.293057,813.2441966,1435.578334,NA,899.3912895,732.134987,896.7484398,953.6021534,NA,544.0664243,NA,1155.19755,NA,NA,1198.15,NA,3836.676566,NA,NA,2491.402909,931.4710768,550.0416499,3549.36078,703.4186914,NA
IGL c1216_light_IGKV3-20_IGKJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124457.2739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1223_light_IGLV8-61_IGLJ3,NA,NA,3764.767521,15660.38799,5247.6012,NA,NA,1689.706905,NA,NA,NA,5724.387189,NA,3050.261186,NA,6063.885434,NA,NA,NA,NA,NA,3564.888175,NA,3107.12083,NA,11248.67953,NA,7884.959247,NA,NA
IGL c1231_light_IGKV2D-28_IGKJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116184.0194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1244_light_IGLV2-23_IGLJ2 (IGL c260_light_IGLV2-23_IGLJ2) (IGL c425_light_IGLV2-23_IGLJ2),507.4627944,1059.819952,574.0190238,NA,734.460991,1388.293057,813.2441966,1435.578334,NA,899.3912895,732.134987,896.7484398,953.6021534,NA,544.0664243,NA,1155.19755,NA,NA,1198.15,NA,3836.676566,NA,NA,2491.402909,931.4710768,550.0416499,3549.36078,703.4186914,NA
IGL c1245_light_IGKV1D-39_IGKJ1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50857.66182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1247_light_IGLV1-51_IGLJ1 (IGL c443_light_IGLV1-51_IGLJ1),NA,NA,NA,NA,NA,28651.28726,NA,NA,NA,NA,NA,NA,NA,53162.37402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c124_light_IGLV7-43_IGLJ3,NA,NA,7586.927521,NA,NA,NA,NA,20726.34539,NA,4317.711294,NA,NA,8515.672189,NA,3847.712018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5242.690568,9530.931807,NA,NA
IGL c1250_light_IGKV3-15_IGKJ2,NA,NA,NA,NA,NA,1358.362493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1256_light_IGLV1-47_IGLJ3,NA,NA,NA,46900.07624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c125_light_IGKV4-1_IGKJ1,NA,NA,NA,NA,NA,NA,NA,NA,2868.904547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1265_light_IGLV1-44_IGLJ2,NA,36195.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42204.31335,NA,NA,NA,NA,28246.69898,NA,61516.05,NA,NA,NA,NA,25563.51935,NA,NA,21006.73921,45057.46828,22349.90214
IGL c1269_light_IGLV1-40_IGLJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58760.85779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c126_light_IGKV1-9_IGKJ3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26474.55015,NA,NA,NA,32683.34095,45902.59146,NA,NA,21958.4834,NA,NA,NA,NA
IGL c126_light_IGKV3-11_IGKJ2 (IGL c477_light_IGKV3-11_IGKJ2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149569.5803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1272_light_IGLV3-19_IGLJ2,NA,NA,NA,10254.11102,NA,12052.04992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18972.4232,NA,NA,NA,NA,NA
IGL c1277_light_IGLV2-23_IGLJ2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3873.191693,NA,NA,NA,NA,NA,NA,NA,NA,345.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1278_light_IGKV4-1_IGKJ2,NA,NA,NA,NA,NA,NA,NA,NA,2868.904547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24319.52993,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1284_light_IGLV3-19_IGLJ2,NA,8315.526579,NA,NA,NA,NA,11675.79867,NA,NA,NA,NA,NA,NA,15355.29666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c1285_light_IGLV2-14_IGLJ2 (IGL c842_light_IGLV2-14_IGLJ2) (IGL c915_light_IGLV2-14_IGLJ2),NA,NA,81.72687736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGL c128_light_IGKV1-9_IGKJ4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5066.677224
IGL c12_light_IGLV1-47_IGLJ6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20508.22203,NA,NA,NA,35394.27369,NA,NA,NA,NA,NA
IGL c1306_light_IGLV8-61_IGLJ3,8311.40164,NA,NA,NA,NA,4011.336909,12558.66102,NA,NA,NA,NA,5808.177551,NA,NA,NA,NA,NA,NA,NA,NA,6803.01781,NA,NA,NA,NA,8851.662609,NA,NA,NA,NA
