Protein.names,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
"All-trans-retinol 13,14-reductase (EC 1.3.99.23) (All-trans-13,14-dihydroretinol saturase) (RetSat) (PPAR-alpha-regulated and starvation-induced gene protein)",NA,13741.6566,NA,NA,16764.39045,NA,18269.21617,15357.34823,25746.77392,NA,NA,NA,NA,NA,NA,NA,13300.1641,17764.60226,NA,NA,NA,3900.413279,NA,NA,NA,3445.186074,NA,NA,NA,NA
Alpha-1-acid glycoprotein 2 (AGP 2) (Orosomucoid-2) (OMD 2),15982.57035,54340.1023,56226.03116,43188.00978,112315.414,50928.31224,NA,NA,62697.46301,29732.48008,28883.54519,177090.9848,38555.97483,NA,13655.18488,22141.90126,48372.44731,41387.25042,119774.4377,70562.00943,115194.8392,29246.10495,189340.6464,38128.57771,62273.56677,36031.52926,21703.85312,51454.15997,81274.92469,33893.37267
Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B],529952.9026,226391.6357,654939.7123,120614.6463,151080.0132,686322.4584,297732.4555,572814.419,729616.3481,528075.5581,851112.5281,1283843.106,1105526.277,785274.4336,565107.0742,579441.5543,1051926.83,1064132.856,1363006.506,913359.9921,438707.3333,134021.4775,805960.0504,525041.2114,761048.3099,377370.8885,448958.065,873901.5097,646940.4946,318122.835
Alpha-2-HS-glycoprotein (Fetuin-A),529952.9026,452783.2713,654939.7123,241229.2927,302160.0264,686322.4584,595464.9111,1145628.838,729616.3481,528075.5581,851112.5281,1283843.106,1105526.277,1570548.867,565107.0742,1158883.109,1051926.83,1064132.856,1363006.506,913359.9921,438707.3333,134021.4775,805960.0504,1050082.423,761048.3099,377370.8885,448958.065,873901.5097,646940.4946,318122.835
Alpha-2-antiplasmin,NA,NA,NA,361.2013998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpha-2-antiplasmin (Alpha-2-AP) (Alpha-2-plasmin inhibitor) (Alpha-2-PI) (Serpin F2),3765.798826,990.3325277,4748.693474,722.4027995,1601.03975,7267.076927,NA,NA,6394.967017,1556.549202,3017.409234,14968.18821,4855.254868,NA,1991.254109,690.1204659,931.2936376,8186.509371,13086.19413,5825.91,36340.21808,2361.001841,4855.955833,6694.998707,9783.615296,5734.091943,2502.099318,5554.545192,13773.55319,1137.797456
"Alpha-2-glycoprotein 1, zinc-binding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6558.200866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5948.088991,NA,NA,NA
Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5),4027586.375,2990529.124,10244305.43,913251.5309,1008429.589,13289632.36,2344116.183,2573260.973,15746991.24,4550576.08,8548001.457,6387018.624,5273150.695,2614874.264,1930737.382,3131639.83,1464803.524,4436179.07,14683097.83,8820799.785,10123948.97,3068869.144,26727569.67,6229610.992,4068145.02,2947601.992,5320908.411,3599265.778,9141480.92,5422960.2
Alternative protein ARMCX4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,979.1582411,NA
Alternative protein DHX40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314.4372346,NA,NA,NA
