,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pathway_name,source,n_genes
WP:WP3896,0.2546793654284897,0.22006740699793154,0.24667202545854378,0.18936874591757485,0.2068519866087065,0.22933260613391973,0.23736156372190825,0.2245241351029884,0.2549315230111766,0.21149561919719576,0.26836862051177707,0.24200879827210584,0.21483606413998052,0.2081726439340887,0.2319027857411342,0.23540152246067803,0.2522619107763142,0.2845890252354845,0.2806324867216463,0.25643250321821554,0.252514614350237,0.2879779117901047,0.23065638459696136,0.2638324779631113,0.22280026359547025,0.21072299886605567,0.23126115579392284,0.2208948796246759,0.2264167276941239,0.24449714680333207,Dengue 2 interactions with complement and coagulation cascades,WP,29
WP:WP558,0.2546793654284897,0.22006740699793154,0.24667202545854378,0.18936874591757485,0.2068519866087065,0.22933260613391973,0.23736156372190825,0.2245241351029884,0.2549315230111766,0.21149561919719576,0.26836862051177707,0.24200879827210584,0.21483606413998052,0.2081726439340887,0.2319027857411342,0.23540152246067803,0.2522619107763142,0.2845890252354845,0.2806324867216463,0.25643250321821554,0.252514614350237,0.2879779117901047,0.23065638459696136,0.2638324779631113,0.22280026359547025,0.21072299886605567,0.23126115579392284,0.2208948796246759,0.2264167276941239,0.24449714680333207,Complement and coagulation cascades,WP,29
WP:WP545,0.27919920522737834,0.2509951795045238,0.2720914662157789,0.21514003050137517,0.2335342539531142,0.261901793560231,0.2646371842445457,0.2607086091187246,0.27283634581677196,0.24447055560434092,0.2922233563121252,0.24472126136371908,0.2268619652867457,0.23673186859706563,0.24628010535871594,0.2572944362590009,0.2789760791331012,0.314192699538745,0.28379161806673775,0.28698849270615695,0.27703209243277926,0.3024695277558115,0.2675937199086618,0.2808869323952082,0.2460359456153009,0.2326064176059743,0.2625912801481137,0.25457494670251174,0.25382781596229187,0.25625439247976545,Complement activation,WP,20
GO:0006959,0.3095075354752507,0.264889336886366,0.30866930698306516,0.25102435527736416,0.2686540023556659,0.30184599016239205,0.30165489018528,0.29411934313299415,0.300733920283227,0.28352533090140525,0.3265605203304091,0.29979259667380037,0.27661028837386953,0.26916561053351923,0.30416799215388196,0.3006962355521017,0.31958773033315174,0.3443265186480643,0.3181700247939826,0.31380431564871425,0.32261524955139886,0.3225307937895259,0.29383237364650144,0.32688146956228153,0.29174982960505835,0.28094338686221454,0.3093335663698305,0.29825777590959507,0.2921237109377834,0.30250031570173197,humoral immune response,GO:BP,43
WP:WP2806,0.2637000505908647,0.22603541424998616,0.2635736308691222,0.25231263242369467,0.25332583775331713,0.263521439159901,0.2711617479417558,0.2946182921287095,0.2633384031648229,0.234200851075578,0.2805841833599111,0.2639814126290611,0.2296367880429355,0.2724176543654363,0.2664764686269169,0.26669574354995434,0.282384353017774,0.2829580504215237,0.27247584791862745,0.26241700933295686,0.25419687336358776,0.28361008242929187,0.24024265059187078,0.27498524323813195,0.24590677150023177,0.2437837764621176,0.2624231811775623,0.24364596433908428,0.24067037021823637,0.2683233588100564,Complement system,WP,32
GO:0006958,0.2882267353739889,0.2699149406473329,0.2840791244117617,0.228070180244875,0.25387558590255915,0.2822713222277492,0.2872415325350976,0.27515588786938694,0.29007424685311106,0.24970644299534442,0.3044621656205092,0.26576229502169973,0.2518347602711689,0.25598937891710477,0.2764161606497488,0.27549758554576437,0.3013858336372015,0.3169646854540926,0.2944380036038568,0.2909292767632796,0.28945410758905943,0.29949994658492013,0.27121066590029097,0.30301681230460414,0.260220596900662,0.24918172512939274,0.28064156151054404,0.2725751910940993,0.26184384791023396,0.2705323695062233,"complement activation, classical pathway",GO:BP,22
REAC:R-HSA-166658,0.25719455893602167,0.23663123268454922,0.2415416078288226,0.2130267538204834,0.2342134049691853,0.2450948995107921,0.256977257555166,0.2543686299107327,0.25960065228933477,0.21267459951444942,0.26242197647040794,0.23437437493826455,0.2098854630788665,0.24174048045220703,0.2368788982799875,0.24290610032695276,0.2796606878373409,0.28928839675205825,0.2592516412363929,0.2528303771448815,0.26365840143038516,0.2758703416180567,0.23585244620785398,0.2593016401391557,0.2211472037558682,0.2169661527463153,0.24215049624563753,0.22674499456879005,0.22557009229958455,0.23895933879419395,Complement cascade,REAC,33
GO:0002455,0.2971534473734464,0.28322159552267434,0.2979764336613909,0.2440329252621398,0.2581472239351387,0.28865124249073115,0.29790362562627626,0.27994716311446194,0.29831037305302244,0.2674366795079721,0.3166440274440013,0.28218950226686956,0.26726768597052347,0.2633923209543989,0.29438110970983233,0.28999067134207057,0.3134826952597939,0.3217306572851045,0.309851960215269,0.3061967723744388,0.30196112823095783,0.3147063531320091,0.2805407546845171,0.3182047361700491,0.2753352411765369,0.26485179156991395,0.2964776094498639,0.2881025561745549,0.27651574738138895,0.2870746684424341,humoral immune response mediated by circulating immunoglobulin,GO:BP,23
GO:0006952,0.2477750928933545,0.2141904383572226,0.23610685993052924,0.21666977667194226,0.2622237178803684,0.22543341816149257,0.26588526764895737,0.2791631115364689,0.2499916831432442,0.22173634468367417,0.2726477838359991,0.22703367097739882,0.22679505913090178,0.26654028800881935,0.26021686691059576,0.2431866208723708,0.26376080998935086,0.2829622252265274,0.28070964304127205,0.24652724592043995,0.2792386842397034,0.29411959092157874,0.2596924969238014,0.2648662373256561,0.2324380976133315,0.2240063299940779,0.2263126158768842,0.23078239769550055,0.22582970879057782,0.24499756154645336,defense response,GO:BP,86
WP:WP5090,0.28373406998859146,0.2625566294211787,0.2841729904065705,0.2265614863354167,0.24873500941265264,0.27393833948465446,0.27571533100019036,0.27839005157119484,0.29352025152358835,0.24577738054589016,0.3063375546056024,0.267077127523348,0.24437852919038325,0.24724685638172852,0.2633945677314903,0.27081348130271615,0.292778224486169,0.3263961430176472,0.30032047665498185,0.29249287538505336,0.29305465380273377,0.3151547583727812,0.2788300678146503,0.2922144878206887,0.2577561638790579,0.24611296861016851,0.2743546782898582,0.2636651011037061,0.2647240412151752,0.2708699469895155,Complement system in neuronal development and plasticity,WP,29
GO:0004252,0.27906066819793773,0.25925066349618836,0.25951741527075456,0.28177125976631023,0.2588973940051724,0.27668277130778784,0.2856082973073875,0.2855666010294708,0.2671494348723529,0.2451873549194929,0.29993450674600824,0.26274523775154274,0.2667279428598959,0.27129277642368244,0.29524910534492155,0.293580633135317,0.3050414491231694,0.268822481783672,0.30962644666506667,0.2827250602209748,0.2879322401282794,0.2960150107780478,0.2502027072256936,0.30986435943038604,0.2761427843954629,0.26831745383065597,0.2680016807885331,0.2712901780652399,0.2547833286132941,0.2990612898941142,serine-type endopeptidase activity,GO:MF,38
