,pathway_name,source,n_genes,mean_AD,mean_Ctrl,diff
GO:0120036,plasma membrane bounded cell projection organization,GO:BP,23,0.1620034016156898,0.16378961924452692,-0.0017862176288371279
GO:0048518,positive regulation of biological process,GO:BP,142,0.17464598280042723,0.17642118867559628,-0.0017752058751690503
KEGG:05322,Systemic lupus erythematosus,KEGG,17,0.2384450845395655,0.2402201005625443,-0.0017750160229788037
GO:0048468,cell development,GO:BP,43,0.08182516736457038,0.08005257786549123,0.001772589499079144
REAC:R-HSA-174577,Activation of C3 and C5,REAC,6,0.3314373657102782,0.3332063809667555,-0.0017690152564772688
REAC:R-HSA-168249,Innate Immune System,REAC,61,0.22695867255612606,0.22520308618929152,0.0017555863668345384
GO:0030335,positive regulation of cell migration,GO:BP,12,-0.13294646482503766,-0.131192456417172,-0.0017540084078656593
GO:2000147,positive regulation of cell motility,GO:BP,12,-0.13294646482503766,-0.131192456417172,-0.0017540084078656593
GO:0065008,regulation of biological quality,GO:BP,68,0.13030306764628694,0.1285711283110723,0.0017319393352146217
GO:1990000,amyloid fibril formation,GO:BP,5,0.23513241804563934,0.23685227806407205,-0.0017198600184327173
GO:0005509,calcium ion binding,GO:MF,28,0.01504776519464909,0.0167638411704013,-0.0017160759757522091
GO:0032371,regulation of sterol transport,GO:BP,10,0.18161356155735103,0.18332486316063307,-0.0017113016032820338
GO:0032374,regulation of cholesterol transport,GO:BP,10,0.18161356155735103,0.18332486316063307,-0.0017113016032820338
KEGG:05100,Bacterial invasion of epithelial cells,KEGG,4,-0.2867235712601702,-0.28501428753347957,-0.0017092837266906025
GO:0007275,multicellular organism development,GO:BP,79,0.11299152800833596,0.11469855964819886,-0.0017070316398628965
GO:0043232,intracellular membraneless organelle,GO:CC,60,0.036778000754099434,0.03848211694940918,-0.0017041161953097461
GO:0043228,membraneless organelle,GO:CC,60,0.036778000754099434,0.03848211694940918,-0.0017041161953097461
GO:0033700,phospholipid efflux,GO:BP,6,0.22795643739496682,0.226257993559334,0.0016984438356328346
GO:0045177,apical part of cell,GO:CC,7,-0.3852900355436634,-0.3869727601175518,0.00168272457388835
GO:0006897,endocytosis,GO:BP,31,0.18433100260689003,0.18265912932971248,0.001671873277177549
GO:0098657,import into cell,GO:BP,31,0.18433100260689003,0.18265912932971248,0.001671873277177549
GO:0008610,lipid biosynthetic process,GO:BP,18,0.1996169879688789,0.20128238357756886,-0.0016653956086899735
GO:0002237,response to molecule of bacterial origin,GO:BP,13,0.29473176270405055,0.2963958195470509,-0.001664056843000361
WP:WP3896,Dengue 2 interactions with complement and coagulation cascades,WP,29,0.237494566929493,0.2391574561077995,-0.0016628891783065092
WP:WP558,Complement and coagulation cascades,WP,29,0.237494566929493,0.2391574561077995,-0.0016628891783065092
GO:0051919,positive regulation of fibrinolysis,GO:BP,3,-0.004551292454243853,-0.006205660862516868,0.001654368408273015
REAC:R-HSA-8963898,Plasma lipoprotein assembly,REAC,8,0.24255016963563558,0.24418414181197945,-0.0016339721763438675
GO:0031491,nucleosome binding,GO:MF,4,-0.24035484711223631,-0.24195564154141183,0.0016007944291755172
GO:0006979,response to oxidative stress,GO:BP,16,0.2525032741325659,0.2509104489368216,0.0015928251957443296
GO:0045935,positive regulation of nucleobase-containing compound metabolic process,GO:BP,19,0.044493223661668205,0.042903869986588905,0.0015893536750792997
REAC:R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),REAC,21,0.32078574210242905,0.31921886250856796,0.0015668795938610924
GO:0015914,phospholipid transport,GO:BP,8,0.227433243377539,0.22586720393597498,0.0015660394415640266
GO:0006909,phagocytosis,GO:BP,19,0.2664300620521262,0.2679732786485968,-0.001543216596470609
GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,GO:BP,27,0.26842082717207416,0.26992688290995775,-0.0015060557378835937
GO:1990904,ribonucleoprotein complex,GO:CC,4,-0.26140930659611705,-0.26291197220711765,0.0015026656110005976
GO:0023056,positive regulation of signaling,GO:BP,37,0.0856495360742219,0.0871405659799452,-0.0014910299057232929
GO:0010647,positive regulation of cell communication,GO:BP,37,0.0856495360742219,0.0871405659799452,-0.0014910299057232929
GO:0002682,regulation of immune system process,GO:BP,65,0.2271964315039427,0.22571134820738897,0.0014850832965537242
GO:0002455,humoral immune response mediated by circulating immunoglobulin,GO:BP,23,0.2888954056184778,0.2903770586412226,-0.0014816530227447777
GO:0015748,organophosphate ester transport,GO:BP,9,0.2273298766167851,0.22586720393597498,0.0014626726808101287
GO:1903706,regulation of hemopoiesis,GO:BP,6,0.003158650285419783,0.0016971397310360978,0.0014615105543836853
WP:WP5090,Complement system in neuronal development and plasticity,WP,29,0.2742168687984524,0.2756736867898335,-0.0014568179913810875
GO:0006801,superoxide metabolic process,GO:BP,4,0.06677273806393395,0.06532107052257778,0.001451667541356172
GO:0042627,chylomicron,GO:CC,7,0.2403852539322669,0.23893420659372594,0.0014510473385409561
GO:0004607,phosphatidylcholine-sterol O-acyltransferase activity,GO:MF,4,0.19888226992347785,0.1974796234367229,0.0014026464867549493
GO:0008374,O-acyltransferase activity,GO:MF,4,0.19888226992347785,0.1974796234367229,0.0014026464867549493
GO:0051246,regulation of protein metabolic process,GO:BP,43,0.12751703144907095,0.1261434690731795,0.0013735623758914517
GO:0034372,very-low-density lipoprotein particle remodeling,GO:BP,5,0.24154056604345056,0.24017012682879896,0.0013704392146516031
GO:0034370,triglyceride-rich lipoprotein particle remodeling,GO:BP,5,0.24154056604345056,0.24017012682879896,0.0013704392146516031
GO:0051241,negative regulation of multicellular organismal process,GO:BP,38,0.16100744407696618,0.15964328810814893,0.0013641559688172544
GO:0006139,nucleobase-containing compound metabolic process,GO:BP,48,0.04261158985677864,0.043971584816680065,-0.0013599949599014255
GO:0060228,phosphatidylcholine-sterol O-acyltransferase activator activity,GO:MF,3,0.21416247642782302,0.21281486942102307,0.0013476070067999502
GO:0150034,distal axon,GO:CC,3,-0.29145730633616873,-0.29280109598123316,0.0013437896450644304
GO:0043679,axon terminus,GO:CC,3,-0.29145730633616873,-0.29280109598123316,0.0013437896450644304
GO:0044306,neuron projection terminus,GO:CC,3,-0.29145730633616873,-0.29280109598123316,0.0013437896450644304
REAC:R-HSA-9707564,Cytoprotection by HMOX1,REAC,3,0.4836345813955532,0.48497352061326326,-0.0013389392177100556
GO:0031347,regulation of defense response,GO:BP,23,0.26855405562801415,0.26988742598530163,-0.0013333703572874778
GO:0060284,regulation of cell development,GO:BP,12,-0.008700534614546009,-0.010021349605605197,0.0013208149910591879
GO:1901990,regulation of mitotic cell cycle phase transition,GO:BP,3,-0.26160704304872706,-0.26291197220711765,0.0013049291583905887
GO:0006958,"complement activation, classical pathway",GO:BP,22,0.2771148072272817,0.275817682443003,0.001297124784278736
GO:0030098,lymphocyte differentiation,GO:BP,4,-0.060263395061365646,-0.06155726816540996,0.0012938731040443158
GO:0043021,ribonucleoprotein complex binding,GO:MF,3,-0.2627257525252802,-0.2614487783138338,-0.0012769742114464022
GO:0043022,ribosome binding,GO:MF,3,-0.2627257525252802,-0.2614487783138338,-0.0012769742114464022
WP:WP5304,Cholesterol metabolism,WP,11,0.22760698981950606,0.22633182385758266,0.0012751659619233968
KEGG:04979,Cholesterol metabolism,KEGG,11,0.22760698981950606,0.22633182385758266,0.0012751659619233968
GO:0004175,endopeptidase activity,GO:MF,48,0.3155934452544662,0.3168460728121224,-0.0012526275576562051
GO:0002253,activation of immune response,GO:BP,42,0.2858728000559423,0.28712336086898205,-0.0012505608130397583
GO:0006952,defense response,GO:BP,86,0.24947779624104652,0.2482283720927565,0.0012494241482900181
GO:0140895,cell surface toll-like receptor signaling pathway,GO:BP,3,-0.21383574075621598,-0.2150384711787269,0.001202730422510928
GO:0034143,regulation of toll-like receptor 4 signaling pathway,GO:BP,3,-0.21383574075621598,-0.2150384711787269,0.001202730422510928
GO:0034142,toll-like receptor 4 signaling pathway,GO:BP,3,-0.21383574075621598,-0.2150384711787269,0.001202730422510928
GO:0006957,"complement activation, alternative pathway",GO:BP,10,0.2616627384810325,0.26285548338827236,-0.0011927449072398622
GO:0051606,detection of stimulus,GO:BP,8,0.30590027446221124,0.3047132204293873,0.001187054032823931
GO:2000425,regulation of apoptotic cell clearance,GO:BP,3,0.3911877103680881,0.39237416621750365,-0.0011864558494155686
GO:2000427,positive regulation of apoptotic cell clearance,GO:BP,3,0.3911877103680881,0.39237416621750365,-0.0011864558494155686
