Entry,Gene Names,Protein names,Query_original,Query_clean
B4DPQ0,C1R,Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r),Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain],Complement C1r subcomponent
A0A3B3ISR2,C1R,Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r),Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain],Complement C1r subcomponent
F5H2D0,C1R,Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r),Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain],Complement C1r subcomponent
Q9NZP8,C1RL C1RL1 C1RLP CLSPA,Complement C1r subcomponent-like protein (C1r-LP) (C1r-like protein) (EC 3.4.21.-) (C1r-like serine protease analog protein) (CLSPa),Complement C1r subcomponent like,Complement C1r subcomponent like
H0YFL7,C1RL,Complement C1r subcomponent like,Complement C1r subcomponent like,Complement C1r subcomponent like
F5H6S5,C1RL,Complement C1r subcomponent-like protein,Complement C1r subcomponent like,Complement C1r subcomponent like
Q9H804,,Complement C1r subcomponent-like protein,Complement C1r subcomponent like,Complement C1r subcomponent like
F5GWF3,C1RL,Complement C1r subcomponent-like protein,Complement C1r subcomponent like,Complement C1r subcomponent like
Q9NZP8,C1RL C1RL1 C1RLP CLSPA,Complement C1r subcomponent-like protein (C1r-LP) (C1r-like protein) (EC 3.4.21.-) (C1r-like serine protease analog protein) (CLSPa),Complement C1r subcomponent-like protein (C1r-LP) (C1r-like protein) (EC 3.4.21.-) (C1r-like serine protease analog protein) (CLSPa),Complement C1r subcomponent-like protein
F5H6S5,C1RL,Complement C1r subcomponent-like protein,Complement C1r subcomponent-like protein (C1r-LP) (C1r-like protein) (EC 3.4.21.-) (C1r-like serine protease analog protein) (CLSPa),Complement C1r subcomponent-like protein
Q9H804,,Complement C1r subcomponent-like protein,Complement C1r subcomponent-like protein (C1r-LP) (C1r-like protein) (EC 3.4.21.-) (C1r-like serine protease analog protein) (CLSPa),Complement C1r subcomponent-like protein
F5GWF3,C1RL,Complement C1r subcomponent-like protein,Complement C1r subcomponent-like protein (C1r-LP) (C1r-like protein) (EC 3.4.21.-) (C1r-like serine protease analog protein) (CLSPa),Complement C1r subcomponent-like protein
F5H7C8,C1RL,Complement C1r subcomponent-like protein,Complement C1r subcomponent-like protein (C1r-LP) (C1r-like protein) (EC 3.4.21.-) (C1r-like serine protease analog protein) (CLSPa),Complement C1r subcomponent-like protein
P09871,C1S,Complement C1s subcomponent (EC 3.4.21.42) (C1 esterase) (Complement component 1 subcomponent s) [Cleaved into: Complement C1s subcomponent heavy chain (Complement C1s subcomponent chain A); Complement C1s subcomponent light chain (Complement C1s subcomponent chain B)],Complement C1s,Complement C1s
F8WCZ6,C1S,Complement C1s,Complement C1s,Complement C1s
B3KNX0,,"cDNA FLJ30621 fis, clone CTONG2001681, highly similar to Complement C1s subcomponent",Complement C1s,Complement C1s
C9JY52,C1S,Complement C1s,Complement C1s,Complement C1s
F5H7T4,C1S,Complement C1s,Complement C1s,Complement C1s
P09871,C1S,Complement C1s subcomponent (EC 3.4.21.42) (C1 esterase) (Complement component 1 subcomponent s) [Cleaved into: Complement C1s subcomponent heavy chain (Complement C1s subcomponent chain A); Complement C1s subcomponent light chain (Complement C1s subcomponent chain B)],Complement C1s subcomponent (EC 3.4.21.42) (C1 esterase) (Complement component 1 subcomponent s) [Cleaved into: Complement C1s subcomponent heavy chain; Complement C1s subcomponent light chain],Complement C1s subcomponent
B3KNX0,,"cDNA FLJ30621 fis, clone CTONG2001681, highly similar to Complement C1s subcomponent",Complement C1s subcomponent (EC 3.4.21.42) (C1 esterase) (Complement component 1 subcomponent s) [Cleaved into: Complement C1s subcomponent heavy chain; Complement C1s subcomponent light chain],Complement C1s subcomponent
P06681,C2,Complement C2 (C3/C5 convertase) [Cleaved into: Complement C2a; Serine protease complement C2b (EC 3.4.21.43)],Complement C2,Complement C2
Q5JP69,C2 hCG_43694,Complement C2 (C3/C5 convertase),Complement C2,Complement C2
B4E1Z4,,Complement C2 (EC 3.4.21.47) (C3/C5 convertase) (Complement factor B),Complement C2,Complement C2
E7ETN3,,Complement C2 (EC 3.4.21.47) (C3/C5 convertase) (Complement factor B),Complement C2,Complement C2
A0A0G2JL69,C2,Complement C2 (C3/C5 convertase),Complement C2,Complement C2
P06681,C2,Complement C2 (C3/C5 convertase) [Cleaved into: Complement C2a; Serine protease complement C2b (EC 3.4.21.43)],Complement C2 (EC 3.4.21.43) (C3/C5 convertase),Complement C2
Q5JP69,C2 hCG_43694,Complement C2 (C3/C5 convertase),Complement C2 (EC 3.4.21.43) (C3/C5 convertase),Complement C2
B4E1Z4,,Complement C2 (EC 3.4.21.47) (C3/C5 convertase) (Complement factor B),Complement C2 (EC 3.4.21.43) (C3/C5 convertase),Complement C2
E7ETN3,,Complement C2 (EC 3.4.21.47) (C3/C5 convertase) (Complement factor B),Complement C2 (EC 3.4.21.43) (C3/C5 convertase),Complement C2
A0A0G2JL69,C2,Complement C2 (C3/C5 convertase),Complement C2 (EC 3.4.21.43) (C3/C5 convertase),Complement C2
P06681,C2,Complement C2 (C3/C5 convertase) [Cleaved into: Complement C2a; Serine protease complement C2b (EC 3.4.21.43)],Complement C2 (EC 3.4.21.43) (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment],Complement C2
Q5JP69,C2 hCG_43694,Complement C2 (C3/C5 convertase),Complement C2 (EC 3.4.21.43) (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment],Complement C2
B4E1Z4,,Complement C2 (EC 3.4.21.47) (C3/C5 convertase) (Complement factor B),Complement C2 (EC 3.4.21.43) (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment],Complement C2
E7ETN3,,Complement C2 (EC 3.4.21.47) (C3/C5 convertase) (Complement factor B),Complement C2 (EC 3.4.21.43) (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment],Complement C2
A0A0G2JL69,C2,Complement C2 (C3/C5 convertase),Complement C2 (EC 3.4.21.43) (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment],Complement C2
P0C0L4,C4A CO4 CPAMD2,Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; Complement C4b-A (Complement C4b-alpha' chain); Complement C4d-A; Complement C4 gamma chain],Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; C4b-A; C4d-A; Complement C4 gamma chain],Complement C4-A
P0C0L5,C4B CO4 CPAMD3; C4B_2,Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; Complement C4b-B; C4d-B; Complement C4 gamma chain],Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain],Complement C4-B
A0A8G1A656,,Complement C4-B,Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain],Complement C4-B
B4E344,,"cDNA FLJ54406, highly similar to Complement C4-B",Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain],Complement C4-B
B4DIE5,,"cDNA FLJ60561, highly similar to Complement C4-B",Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain],Complement C4-B
B4DDH0,,"cDNA FLJ55146, highly similar to Complement C4-B",Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain],Complement C4-B
A0A140TA49,C4A,Complement C4A (Chido/Rodgers blood group),Complement C4A (Rodgers blood group),Complement C4A
A0A140TA44,C4A,Complement C4A (Chido/Rodgers blood group),Complement C4A (Rodgers blood group),Complement C4A
A0A0G2JPR0,C4A,Complement C4A (Chido/Rodgers blood group),Complement C4A (Rodgers blood group),Complement C4A
A0A8V8TLP6,C4A,Complement C4A (Chido/Rodgers blood group),Complement C4A (Rodgers blood group),Complement C4A
P01031,C5 CPAMD4,Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5b (Complement C5 alpha' chain)],Complement C5,Complement C5
A0A8Q3SID6,C5,Complement C5,Complement C5,Complement C5
A0A8V8TMU5,C5,Complement C5,Complement C5,Complement C5
Q59GS8,,Complement C5,Complement C5,Complement C5
A0A8Q3SIH6,C5,Complement C5,Complement C5,Complement C5
P01031,C5 CPAMD4,Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5b (Complement C5 alpha' chain)],Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain],Complement C5
A0A8Q3SID6,C5,Complement C5,Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain],Complement C5
A0A8V8TMU5,C5,Complement C5,Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain],Complement C5
Q59GS8,,Complement C5,Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain],Complement C5
A0A8Q3SIH6,C5,Complement C5,Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain],Complement C5
A0A8Q3WKT7,C8A,Complement C8 alpha chain,Complement C8 alpha chain,Complement C8 alpha chain
A0A8Q3WL79,C8A,Complement C8 alpha chain,Complement C8 alpha chain,Complement C8 alpha chain
A0A8Q3WKQ2,C8A,Complement C8 alpha chain,Complement C8 alpha chain,Complement C8 alpha chain
A0A8Q3WKN4,C8A,Complement C8 alpha chain,Complement C8 alpha chain,Complement C8 alpha chain
A0A8Q3WKN0,C8A,Complement C8 alpha chain,Complement C8 alpha chain,Complement C8 alpha chain
P13671,C6,Complement component C6,Complement component C6,Complement component C6
A8K8Z4,,Complement component C6,Complement component C6,Complement component C6
P10643,C7,Complement component C7,Complement component C7,Complement component C7
A0A8Q3SIM0,C7,Complement component C7,Complement component C7,Complement component C7
A0A8Q3WL76,C7,Complement component C7,Complement component C7,Complement component C7
B2R6W1,,Complement component C7,Complement component C7,Complement component C7
Q05CI3,C7,Complement component C7,Complement component C7,Complement component C7
P07357,C8A,Complement component C8 alpha chain (Complement component 8 subunit alpha),Complement component C8 alpha chain (Complement component 8 subunit alpha),Complement component C8 alpha chain
P07358,C8B,Complement component C8 beta chain (Complement component 8 subunit beta),Complement component C8 beta chain (Complement component 8 subunit beta),Complement component C8 beta chain
A0A8Q3SI88,C8B,Complement component C8 beta chain (Complement component 8 subunit beta),Complement component C8 beta chain (Complement component 8 subunit beta),Complement component C8 beta chain
A0A8Q3WL56,C8B,Complement component C8 beta chain (Complement component 8 subunit beta),Complement component C8 beta chain (Complement component 8 subunit beta),Complement component C8 beta chain
A8K9M5,,Complement component C8 beta chain (Complement component 8 subunit beta),Complement component C8 beta chain (Complement component 8 subunit beta),Complement component C8 beta chain
B7Z550,C8B hCG_23458,Complement component C8 beta chain (Complement component 8 subunit beta),Complement component C8 beta chain (Complement component 8 subunit beta),Complement component C8 beta chain
P07360,C8G,Complement component C8 gamma chain,Complement component C8 gamma chain,Complement component C8 gamma chain
P02748,C9,Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b],Complement component C9,Complement component C9
A0A8Q3SI39,C9,Complement component C9,Complement component C9,Complement component C9
A0A8Q3SI37,C9,Complement component C9,Complement component C9,Complement component C9
A0A8Q3SI95,C9,Complement component C9,Complement component C9,Complement component C9
P00751,CFB BF BFD,Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba (Ba); Complement factor B Bb (Bb)],Complement factor B (EC 3.4.21.47) (C3/C5 convertase),Complement factor B
B4E1Z4,,Complement C2 (EC 3.4.21.47) (C3/C5 convertase) (Complement factor B),Complement factor B (EC 3.4.21.47) (C3/C5 convertase),Complement factor B
E7ETN3,,Complement C2 (EC 3.4.21.47) (C3/C5 convertase) (Complement factor B),Complement factor B (EC 3.4.21.47) (C3/C5 convertase),Complement factor B
A0A0G2JH38,CFB,Complement factor B (EC 3.4.21.47) (C3/C5 convertase),Complement factor B (EC 3.4.21.47) (C3/C5 convertase),Complement factor B
A0A8V8TNU0,CFB,Complement factor B (EC 3.4.21.47) (C3/C5 convertase),Complement factor B (EC 3.4.21.47) (C3/C5 convertase),Complement factor B
P00751,CFB BF BFD,Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba (Ba); Complement factor B Bb (Bb)],Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment],Complement factor B
B4E1Z4,,Complement C2 (EC 3.4.21.47) (C3/C5 convertase) (Complement factor B),Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment],Complement factor B
E7ETN3,,Complement C2 (EC 3.4.21.47) (C3/C5 convertase) (Complement factor B),Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment],Complement factor B
A0A0G2JH38,CFB,Complement factor B (EC 3.4.21.47) (C3/C5 convertase),Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment],Complement factor B
A0A8V8TNU0,CFB,Complement factor B (EC 3.4.21.47) (C3/C5 convertase),Complement factor B (EC 3.4.21.47) (C3/C5 convertase) (Glycine-rich beta glycoprotein) (GBG) (PBF2) (Properdin factor B) [Cleaved into: Complement factor B Ba fragment; Complement factor B Bb fragment],Complement factor B
P00746,CFD DF PFD,Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D),Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D),Complement factor D
K7ERG9,CFD,Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D),Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D),Complement factor D
A0A8Q3WKV6,CFD,Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D),Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D),Complement factor D
A0A8Q3WKW0,CFD,Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D),Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D),Complement factor D
A0A8Q3WLE6,CFD,Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D),Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D),Complement factor D
P08603,CFH HF HF1 HF2,Complement factor H (H factor 1),Complement factor H,Complement factor H
Q9BXR6,CFHR5 CFHL5 FHR5,Complement factor H-related protein 5 (FHR-5),Complement factor H,Complement factor H
Q92496,CFHR4 CFHL4 FHR4,Complement factor H-related protein 4 (FHR-4),Complement factor H,Complement factor H
Q02985,CFHR3 CFHL3 FHR3,Complement factor H-related protein 3 (FHR-3) (DOWN16) (H factor-like protein 3),Complement factor H,Complement factor H
P36980,CFHR2 CFHL2 FHR2 HFL3,Complement factor H-related protein 2 (FHR-2) (DDESK59) (H factor-like 3) (H factor-like protein 2),Complement factor H,Complement factor H
P08603,CFH HF HF1 HF2,Complement factor H (H factor 1),Complement factor H (H factor 1),Complement factor H
Q9BXR6,CFHR5 CFHL5 FHR5,Complement factor H-related protein 5 (FHR-5),Complement factor H (H factor 1),Complement factor H
Q92496,CFHR4 CFHL4 FHR4,Complement factor H-related protein 4 (FHR-4),Complement factor H (H factor 1),Complement factor H
Q02985,CFHR3 CFHL3 FHR3,Complement factor H-related protein 3 (FHR-3) (DOWN16) (H factor-like protein 3),Complement factor H (H factor 1),Complement factor H
P36980,CFHR2 CFHL2 FHR2 HFL3,Complement factor H-related protein 2 (FHR-2) (DDESK59) (H factor-like 3) (H factor-like protein 2),Complement factor H (H factor 1),Complement factor H
B1AKG0,CFHR1,Complement factor H related 1,Complement factor H related 1,Complement factor H related 1
A0A8V8TQ26,CFHR1,Complement factor H related 1,Complement factor H related 1,Complement factor H related 1
A0A8V8TNS5,CFHR1,Complement factor H related 1,Complement factor H related 1,Complement factor H related 1
A0A3B3IQ51,CFHR2,Complement factor H related 2,Complement factor H related 2,Complement factor H related 2
A0A8V8TQS1,CFHR2,Complement factor H related 2,Complement factor H related 2,Complement factor H related 2
A0A3B3IS28,CFHR2,Complement factor H related 2,Complement factor H related 2,Complement factor H related 2
V9GYE7,CFHR2,Complement factor H related 2,Complement factor H related 2,Complement factor H related 2
A0A3B3ISW6,CFHR2,Complement factor H related 2,Complement factor H related 2,Complement factor H related 2
Q03591,CFHR1 CFHL CFHL1 CFHL1P CFHR1P FHR1 HFL1 HFL2,Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (FHL-1) (H-factor-like 1) (H36),Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (FHL-1) (H-factor-like 1) (H36),Complement factor H-related protein 1
Q6LBM9,H 36-2,FHR-1; complement Factor H-related protein 1,Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (FHL-1) (H-factor-like 1) (H36),Complement factor H-related protein 1
P36980,CFHR2 CFHL2 FHR2 HFL3,Complement factor H-related protein 2 (FHR-2) (DDESK59) (H factor-like 3) (H factor-like protein 2),Complement factor H-related protein 2 (FHR-2) (DDESK59) (H factor-like 3) (H factor-like protein 2),Complement factor H-related protein 2
Q92496,CFHR4 CFHL4 FHR4,Complement factor H-related protein 4 (FHR-4),Complement factor H-related protein 4 (FHR-4),Complement factor H-related protein 4
I0CMK1,CFHR4,Complement factor H-related protein 4,Complement factor H-related protein 4 (FHR-4),Complement factor H-related protein 4
P05156,CFI IF,Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain],Complement factor I,Complement factor I
A8K3L0,,Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator),Complement factor I,Complement factor I
B4DRF2,,Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator),Complement factor I,Complement factor I
G3XAM2,CFI hCG_21044,Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator),Complement factor I,Complement factor I
E7ETH0,CFI,Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator),Complement factor I,Complement factor I
P05156,CFI IF,Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain],Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain],Complement factor I
A8K3L0,,Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator),Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain],Complement factor I
B4DRF2,,Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator),Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain],Complement factor I
G3XAM2,CFI hCG_21044,Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator),Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain],Complement factor I
E7ETH0,CFI,Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator),Complement factor I (EC 3.4.21.45) (C3B/C4B inactivator) [Cleaved into: Complement factor I heavy chain; Complement factor I light chain],Complement factor I
C9J7V5,CFP,Complement factor properdin,Complement factor properdin,Complement factor properdin
A0A0S2Z515,CFP,Complement factor properdin isoform 2,Complement factor properdin,Complement factor properdin
B3KVK6,CFP hCG_29138,"Complement factor properdin, isoform CRA_c (cDNA FLJ16673 fis, clone THYMU3003403, highly similar to Properdin)",Complement factor properdin,Complement factor properdin
P08185,SERPINA6 CBG,Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin),Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin),Corticosteroid-binding globulin
A0A2Z4LCH4,,Corticosteroid-binding globulin (Serpin A6) (Transcortin),Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin),Corticosteroid-binding globulin
B2R9F2,,Corticosteroid-binding globulin (Serpin A6) (Transcortin),Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin),Corticosteroid-binding globulin
P08185,SERPINA6 CBG,Corticosteroid-binding globulin (CBG) (Serpin A6) (Transcortin),Corticosteroid-binding globulin (Serpin A6) (Transcortin),Corticosteroid-binding globulin
A0A2Z4LCH4,,Corticosteroid-binding globulin (Serpin A6) (Transcortin),Corticosteroid-binding globulin (Serpin A6) (Transcortin),Corticosteroid-binding globulin
B2R9F2,,Corticosteroid-binding globulin (Serpin A6) (Transcortin),Corticosteroid-binding globulin (Serpin A6) (Transcortin),Corticosteroid-binding globulin
B1N7B6,,Cryocrystalglobulin CC1 heavy chain variable region,Cryocrystalglobulin CC1 heavy chain variable region,Cryocrystalglobulin CC1 heavy chain variable region
B1N7B9,,Cryocrystalglobulin CC2 lambda light chain variable region,Cryocrystalglobulin CC2 lambda light chain variable region,Cryocrystalglobulin CC2 lambda light chain variable region
Q13616,CUL1,Cullin-1 (CUL-1),Cullin 1,Cullin 1
Q86Y37,CACUL1 C10orf46 CAC1,CDK2-associated and cullin domain-containing protein 1 (Cdk-associated cullin 1),Cullin 1,Cullin 1
Q75MQ1,CUL1,Cullin-1,Cullin 1,Cullin 1
A0A590UJR3,CUL1,Cullin-1,Cullin 1,Cullin 1
A0A590UJ21,CUL1,Cullin-1,Cullin 1,Cullin 1
P35663,CYLC1 CYL CYL1,Cylicin-1 (Cylicin I) (Multiple-band polypeptide I),Cylicin-1 (Cylicin I) (Multiple-band polypeptide I),Cylicin-1
A0A087WXC8,CYLC1,Cylicin 1,Cylicin-1 (Cylicin I) (Multiple-band polypeptide I),Cylicin-1
A0AAA9YHN9,CYP27B1,Cytochrome P450 family 27 subfamily B member 1,Cytochrome P450 family 27 subfamily B member 1,Cytochrome P450 family 27 subfamily B member 1
A0AAA9YHZ6,CYP27B1,Cytochrome P450 family 27 subfamily B member 1,Cytochrome P450 family 27 subfamily B member 1,Cytochrome P450 family 27 subfamily B member 1
A0ABB0MVF9,CYP27B1,Cytochrome P450 family 27 subfamily B member 1,Cytochrome P450 family 27 subfamily B member 1,Cytochrome P450 family 27 subfamily B member 1
A0ABB0MVH2,CYP27B1,Cytochrome P450 family 27 subfamily B member 1,Cytochrome P450 family 27 subfamily B member 1,Cytochrome P450 family 27 subfamily B member 1
P51530,DNA2 DNA2L KIAA0083,DNA replication ATP-dependent helicase/nuclease DNA2 (hDNA2) (DNA replication ATP-dependent helicase-like homolog) [Includes: DNA replication nuclease DNA2 (EC 3.1.-.-); DNA replication ATP-dependent helicase DNA2 (EC 3.6.4.12)],DNA replication ATP-dependent helicase/nuclease DNA2 (EC 3.6.4.12) (DNA replication ATP-dependent helicase-like homolog),DNA replication ATP-dependent helicase/nuclease DNA2
F8VR31,DNA2,DNA replication ATP-dependent helicase/nuclease DNA2 (EC 3.6.4.12) (DNA replication ATP-dependent helicase-like homolog),DNA replication ATP-dependent helicase/nuclease DNA2 (EC 3.6.4.12) (DNA replication ATP-dependent helicase-like homolog),DNA replication ATP-dependent helicase/nuclease DNA2
Q9Y4D1,DAAM1 KIAA0666,Disheveled-associated activator of morphogenesis 1,Disheveled-associated activator of morphogenesis 1,Disheveled-associated activator of morphogenesis 1
A8K6X5,,Disheveled-associated activator of morphogenesis 1,Disheveled-associated activator of morphogenesis 1,Disheveled-associated activator of morphogenesis 1
Q9UKF2,ADAM30 UNQ2509/PRO5997,Disintegrin and metalloproteinase domain-containing protein 30 (ADAM 30) (EC 3.4.24.-),Disintegrin and metalloproteinase domain-containing protein 30 (ADAM 30) (EC 3.4.24.-),Disintegrin and metalloproteinase domain-containing protein 30
O14733,MAP2K7 JNKK2 MEK7 MKK7 PRKMK7 SKK4,Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2),Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2),Dual specificity mitogen-activated protein kinase kinase 7
B4DV95,,Dual specificity mitogen-activated protein kinase kinase 7 (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (c-Jun N-terminal kinase kinase 2),Dual specificity mitogen-activated protein kinase kinase 7 (MAP kinase kinase 7) (MAPKK 7) (EC 2.7.12.2) (JNK-activating kinase 2) (MAPK/ERK kinase 7) (MEK 7) (Stress-activated protein kinase kinase 4) (SAPK kinase 4) (SAPKK-4) (SAPKK4) (c-Jun N-terminal kinase kinase 2) (JNK kinase 2) (JNKK 2),Dual specificity mitogen-activated protein kinase kinase 7
