Entry,Gene Names,Protein names,Query_original,Query_clean
B3KP51,,"Alanine--glyoxylate aminotransferase 2, mitochondrial (EC 2.6.1.18) (EC 2.6.1.40) (EC 2.6.1.44) ((R)-3-amino-2-methylpropionate--pyruvate transaminase) (Beta-ALAAT II) (Beta-alanine-pyruvate aminotransferase) (D-3-aminoisobutyrate-pyruvate aminotransferase) (D-AIBAT) (D-beta-aminoisobutyrate-pyruvate aminotransferase)",Alanine--glyoxylate aminotransferase (AGT) (SPT) (EC 2.6.1.44) (EC 2.6.1.51) (Serine--pyruvate aminotransferase),Alanine--glyoxylate aminotransferase
P02768,ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341,Albumin,Albumin,Albumin
P43652,AFM ALB2 ALBA,Afamin (Alpha-albumin) (Alpha-Alb),Albumin,Albumin
Q10586,DBP,D site-binding protein (Albumin D box-binding protein) (Albumin D-element-binding protein) (Tax-responsive enhancer element-binding protein 302) (TaxREB302),Albumin,Albumin
A0A0C4DGB6,ALB,Albumin,Albumin,Albumin
B7WNR0,ALB,Albumin,Albumin,Albumin
Q6NUM9,RETSAT PPSIG UNQ439/PRO872,"All-trans-retinol 13,14-reductase (EC 1.3.99.23) (All-trans-13,14-dihydroretinol saturase) (RetSat) (PPAR-alpha-regulated and starvation-induced gene protein)","All-trans-retinol 13,14-reductase (EC 1.3.99.23)","All-trans-retinol 13,14-reductase"
B4DKE1,,"All-trans-retinol 13,14-reductase (EC 1.3.99.23)","All-trans-retinol 13,14-reductase (EC 1.3.99.23)","All-trans-retinol 13,14-reductase"
H7BZ16,RETSAT,"All-trans-retinol 13,14-reductase (EC 1.3.99.23)","All-trans-retinol 13,14-reductase (EC 1.3.99.23)","All-trans-retinol 13,14-reductase"
H7C3J0,RETSAT,"All-trans-retinol 13,14-reductase (EC 1.3.99.23)","All-trans-retinol 13,14-reductase (EC 1.3.99.23)","All-trans-retinol 13,14-reductase"
H0YGU3,RETSAT,"All-trans-retinol 13,14-reductase (EC 1.3.99.23)","All-trans-retinol 13,14-reductase (EC 1.3.99.23)","All-trans-retinol 13,14-reductase"
