,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,pathway_name,source,n_genes
REAC:R-HSA-166658,0.2312065309821824,0.09843854163319314,0.1741918087271663,0.015387083103741457,0.017990401524722782,0.2331770028280145,0.19209446268815125,0.17055372705603086,0.25318678806404665,0.1844725012029745,0.21207346547857311,0.16730349444030687,0.17753016003758273,0.20158624760646918,0.13568857544199908,0.1660285704873385,0.20145872274572232,0.261792614087328,0.23689191026946405,0.2679042054958973,0.2355648839910493,0.23921181636977262,0.20563247919871805,0.17940399692766174,0.15716813855003847,0.13118139841362483,0.17445021936400515,0.21847550396208076,0.171243480490975,0.22420378093070273,Complement cascade,REAC,33
GO:0002455,0.22808027515979404,0.16201609281052065,0.22913008111805236,0.03631473499472052,0.06796378305554225,0.22397536848900482,0.22390289948218214,0.1931345186664866,0.2594568678456069,0.2073514114190448,0.21999037227072385,0.23419410554652717,0.19668794278178614,0.2143018930965452,0.22337282650469306,0.24028224463402592,0.2468852475355308,0.259157909107053,0.3047113702819704,0.27143470622041377,0.23075420767097118,0.2721903705907837,0.21336475058145019,0.24588359282496522,0.19155497369469135,0.1896595702776873,0.21627047368587796,0.23057722299150762,0.18584438391530378,0.226386450401275,humoral immune response mediated by circulating immunoglobulin,GO:BP,23
GO:0006952,0.18907931440598194,0.0914852737735934,0.189710955223781,0.046831850113515504,0.11653033066152595,0.20776525052958403,0.2291992829443928,0.24933470213027795,0.22354440632113473,0.18706714525844564,0.22975162537667132,0.19567799535656502,0.1849162124822437,0.2612414091692308,0.21562220441840352,0.18506586094800956,0.22030392765441525,0.25847901152375374,0.275236300938242,0.2465800624068834,0.2733981786073251,0.27979509581187856,0.21993018095644434,0.19822145921970358,0.19979965069835648,0.15268259680463322,0.16052922430686817,0.22416978128475967,0.19084607097057515,0.2220170802757134,defense response,GO:BP,86
WP:WP5090,0.22765442339856898,0.1477168146160296,0.2280612260983468,0.02889369023072748,0.042852808979842325,0.217669862328405,0.2138606744412836,0.2032003390553622,0.25206865639946363,0.18585831215614446,0.21777622083279408,0.21225094908237022,0.16969223755653154,0.20149404749758365,0.1815217821831262,0.20892593960445913,0.2065187209366027,0.271597123103818,0.29271278394593075,0.2666268155165954,0.2287767364385412,0.2825188384410474,0.21482872355445665,0.21579239451502336,0.15433229084112357,0.16361118580010908,0.16497188277605948,0.20990821123217046,0.17457813457847726,0.22167467413977307,Complement system in neuronal development and plasticity,WP,29
GO:0004252,0.22976088692876426,0.15944699876519594,0.21992958663482348,0.19507472178441906,0.16883014446437697,0.21997478522884,0.28271819129059717,0.26698247444457823,0.21016304662411525,0.16529583137890627,0.20955122133725768,0.2158653363293227,0.20633145138167294,0.31235730071591455,0.21599471249957863,0.2359669461700867,0.28880308440595054,0.21022719922343588,0.27629971793415936,0.24402859706313573,0.2515067267857455,0.25101822885840863,0.1942927588754152,0.2559062532775679,0.20180700585548791,0.20440964478407864,0.19158833233089298,0.23161265833842345,0.19962387789909056,0.25841140227809223,serine-type endopeptidase activity,GO:MF,38
GO:0009605,0.18386841563068168,0.07435030250782207,0.19287089833151833,0.005715158087907701,0.06733301576827437,0.19931113562855582,0.19381272781823985,0.20273827671776187,0.21637863174183872,0.17509246471007597,0.2575461938659008,0.19567109380208336,0.1922865981176054,0.2446253994850045,0.2110092743420456,0.14876177851751307,0.19568786670029287,0.274516386573578,0.2563846796863441,0.24163325739759517,0.2469746116021791,0.24484848707793008,0.18887209313831582,0.20342945256246342,0.2071077435075494,0.15324084782519684,0.18682097421693403,0.22025053968552896,0.1790114293155304,0.238057592946892,response to external stimulus,GO:BP,96
GO:0008236,0.22976088692876426,0.15944699876519594,0.21992958663482348,0.19507472178441906,0.16883014446437697,0.21997478522884,0.28271819129059717,0.26698247444457823,0.21016304662411525,0.16529583137890627,0.20955122133725768,0.2158653363293227,0.20633145138167294,0.31235730071591455,0.21599471249957863,0.2359669461700867,0.28880308440595054,0.21022719922343588,0.27629971793415936,0.24402859706313573,0.2515067267857455,0.25101822885840863,0.1942927588754152,0.2559062532775679,0.20180700585548791,0.20440964478407864,0.19158833233089298,0.23161265833842345,0.19962387789909056,0.25841140227809223,serine-type peptidase activity,GO:MF,38
GO:0017171,0.22976088692876426,0.15944699876519594,0.21992958663482348,0.19507472178441906,0.16883014446437697,0.21997478522884,0.28271819129059717,0.26698247444457823,0.21016304662411525,0.16529583137890627,0.20955122133725768,0.2158653363293227,0.20633145138167294,0.31235730071591455,0.21599471249957863,0.2359669461700867,0.28880308440595054,0.21022719922343588,0.27629971793415936,0.24402859706313573,0.2515067267857455,0.25101822885840863,0.1942927588754152,0.2559062532775679,0.20180700585548791,0.20440964478407864,0.19158833233089298,0.23161265833842345,0.19962387789909056,0.25841140227809223,serine hydrolase activity,GO:MF,38
GO:0004175,0.26639102508007445,0.23663211931019307,0.26009091342391283,0.1789498210731234,0.16187578634821806,0.2860957687926916,0.3151750406592254,0.3095748534029696,0.2711679330548354,0.21934179124951061,0.2740359545648148,0.2645370959631908,0.23017526678026434,0.2948588043566348,0.2508537986772812,0.2654524434316732,0.293778897113149,0.3078534408427467,0.31952061894751743,0.29884520595957337,0.2881292928327757,0.27573014645983146,0.2425477528252183,0.3032123824433762,0.26789360431211684,0.2513287628439178,0.25616825459734127,0.2905309908771924,0.2463090550057311,0.27663520613547177,endopeptidase activity,GO:MF,48
GO:0031012,0.21180404392224148,0.04103435554796867,0.1913038753744653,-0.002887761726175987,0.09248692707644325,0.1704920378130504,0.20383590642821325,0.14605670532049117,0.19337866903351694,0.13384877899322536,0.1809722667367888,0.18388840619226496,0.17389371529215614,0.2484497778404702,0.19370027582296637,0.1516581889173366,0.18233171948260382,0.21528168132866204,0.26863013525155754,0.1971099486513378,0.17156897471360677,0.24323677995053228,0.20075463189118958,0.20643241112554372,0.16254810245824178,0.1581761680296368,0.08064611770452197,0.205787861146695,0.16744673279168934,0.1684724476188619,extracellular matrix,GO:CC,45
