Protein.names,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
10E8 light chain variable region,22338.57536,,5175.324325,20508.22203,,24104.09984,47112.19868,,,,,,,,,,,,,,,,,,37944.84641,,,,,
10E8 light chain variable region (IGL c3101_light_IGLV3-19_IGLJ2),11169.28768,,,10254.11102,,12052.04992,23556.09934,,,,,,,,,,,,,,,,,,18972.4232,,,,,
78 kDa glucose-regulated protein (Binding-immunoglobulin protein) (Heat shock protein 70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein),,,1134.526313,,,,1401.725351,,,,,,,,,,,,,,,,,,,,,,1613.080425,
B cell receptor heavy chain variable region,,,,,,,,,,,,,,,,,,,,,,,103254.1598,,,,,,,
Cryocrystalglobulin CC1 heavy chain variable region,,,,,,,,,,,,,,,,,,,,,,,,,98855.68408,,,,,
Cryocrystalglobulin CC2 lambda light chain variable region,,,,,,,,,,,,,,,,,,,,,,,34642.65586,,,,,,,
IG c1250_heavy_IGHV3-15_IGHD1-26_IGHJ2,,,,,,,,,,,,,,,,,64356.01707,25911.44443,,,,,,,,,47144.8289,,,
IG c1255_light_IGLV2-11_IGLJ3,,,,,,,,,,,,,,,,,2445.104048,,,,,,,,,,,,,
IG c1256_heavy_IGHV3-23_IGHD3-3_IGHJ6,,,,,,,16661.83524,,,,,,,,,,,,,,,,,,,,,,,
IG c125_heavy_IGHV3-23_IGHD2-8_IGHJ4,,,,,,,,,,,,,,,,,,21047.90816,,,,,,,,,,,,
IG c1263_heavy_IGHV3-23_IGHD3-10_IGHJ3,,,,,,,,,,,,,,,,,,,,,,160611.7379,,,,,,,,
IG c1265_heavy_IGHV1-2_IGHD3-10_IGHJ6,,,,,,,,,4489.988342,6014.163169,,,,,3285.720498,,,19441.2642,,,,,,,,,,,,
IG c1265_light_IGKV3-20_IGKJ1,,,126316.5624,36038.74102,,,69074.2225,,25260.04651,,,,,23226.79887,76021.13318,,75893.83594,,,,,,,,,,,,,
IG c1265_light_IGLV3-25_IGLJ3,,,,,,,,,,,,,,,,,,30939.32743,,,,,,,,,,,,
IG c1267_heavy_IGHV3-53_IGHD2-2_IGHJ6,,,9913.690687,,,,,,,,,,,,,,,7623.323229,,,,,,,,,,20279.64027,,
IG c1268_heavy_IGHV3-11_IGHD6-19_IGHJ4,,,,,,,,,,,,,135450.06,,,,,,,,,,,,,,,,,
IG c126_heavy_IGHV3-74_IGHD2-15_IGHJ4,,,,,,,,,34728.13102,,,,,,,,,,,,,,,,,,,,,
IG c1270_light_IGLV5-45_IGLJ2,,,,,,,,,,,,,,,,,,,,,,,,,560.2632457,,,1489.477044,,
IG c1270_light_IGLV6-57_IGLJ3 (IG c1878_light_IGLV6-57_IGLJ3),,,,,,,1729.309681,,,,,,,,,,,,,5684.89,,,,,,,,,,
IG c1274_heavy_IGHV3-33_IGHD6-19_IGHJ4,,,,,,,,,,13210.05831,,,,,,,,,,,,,,,,,,,,
IG c1275_heavy_IGHV1-69_IGHD2-2_IGHJ3 (IG c1334_heavy_IGHV1-69_IGHD2-2_IGHJ3) (IG c1776_heavy_IGHV1-69_IGHD2-2_IGHJ3),,,311573.1275,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG c1278_heavy_IGHV3-21_IGHD4-23_IGHJ4,100384.4161,,180205.4772,,,,,,,55686.90348,,,,,,,,,,,,,,,,,,,,
IG c1278_light_IGKV1-5_IGKJ1,,,,,,,,,,21375.6145,,,,,,,,84510.74454,36762.74029,,,,,,1989.627242,,,68346.72161,23559.68586,
IG c1279_light_IGLV1-51_IGLJ2,,,,,,,,,,,,,,,,,,,21345.95145,,3291.623479,,,,,,,,,
IG c127_heavy_IGHV1-18_IGHD4-23_IGHJ4,,,,,,9597.687871,,,,,,,,,,,,,,14642.16627,,,,,,,,,,
IG c1286_light_IGLV6-57_IGLJ2 (IG c1771_light_IGLV6-57_IGLJ2),,,,,,,2161.939517,,,,,,,,,,,,,,,,,,,,,,,
IG c1287_heavy_IGHV3-23_IGHD6-6_IGHJ1,,,78719.00246,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG c1287_light_IGKV2-24_IGKJ2,,,,,,,,,,,,,,,,,,,1238.672387,,,,,,,,,,,
IG c1298_heavy_IGHV3-49_IGHD3-3_IGHJ4,,45055.86742,,,20508.22203,36826.03508,28260.02927,40324.90587,28508.93572,10803.21181,42605.31148,21675.76909,51781.91931,29531.44651,,44442.52574,,26491.9899,,79391.79467,11472.72481,31010.19977,52846.00122,,19517.21833,,43457.3377,70110.99943,29690.82417,
IG c1298_light_IGKV1-27_IGKJ1,,,,,,,,,,,,,,,,,,,,,,,,,,67909.30427,,,,
IG c1301_heavy_IGHV5-51_IGHD1-26_IGHJ4,,,,,,,,,,,143856.031,,,,,,,,,,,,,,,,,,,
IG c1308_light_IGLV2-8_IGLJ3,,,6862.783345,,,,,,,3280.963164,,,,,,,,,4330.931662,,,,,,,11955.84536,,,,
IG c1311_heavy_IGHV4-39_IGHD6-19_IGHJ4,3843.928081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG c1313_light_IGLV1-51_IGLJ2,,,,,,,,,,,,,,,5141.353157,,,,,,,,,,,,,,,
IG c1314_heavy_IGHV3-23_IGHD3-10_IGHJ4,,,,,,,,,,,,10868.46782,,,,,,,,,,,,,,,,,,
IG c1315_light_IGLV1-47_IGLJ3,,,,,,,,,,,,,,,,,,,,,,,,,,32067.33593,,,,
IG c1317_light_IGKV2-28_IGKJ3,,,,,,,,,,,,,,,,42715.82767,,,,,,129267.8087,,,,,,,,
IG c1318_heavy_IGHV4-4_IGHD7-27_IGHJ4,,,,,,,18813.55116,,,,,,,,,,,,,,,,82374.19044,,24139.14056,,,,,
