,pathway_name,source,n_genes,mean_AD,mean_Ctrl,diff
GO:0009719,response to endogenous stimulus,GO:BP,29,0.18532361732557376,0.1919437198732231,-0.006620102547649331
GO:0007409,axonogenesis,GO:BP,8,0.09952681573490568,0.09291605464867228,0.006610761086233402
GO:0002697,regulation of immune effector process,GO:BP,17,0.23961929003157506,0.24621843017285983,-0.006599140141284765
GO:0048666,neuron development,GO:BP,16,0.0963517274675431,0.10291695426920486,-0.006565226801661758
GO:0008217,regulation of blood pressure,GO:BP,6,-0.05111224974153269,-0.05763192181530695,0.006519672073774262
GO:0004842,ubiquitin-protein transferase activity,GO:MF,3,-0.006513870943051972,0.0,-0.006513870943051972
GO:0007186,G protein-coupled receptor signaling pathway,GO:BP,11,0.15041685481935027,0.143911355468836,0.006505499350514282
GO:0007165,signal transduction,GO:BP,87,0.08902705772261743,0.082533247760401,0.006493809962216435
GO:0060255,regulation of macromolecule metabolic process,GO:BP,84,0.03557285657188898,0.0420543490845855,-0.0064814925126965225
GO:0045597,positive regulation of cell differentiation,GO:BP,17,-0.08456357027457855,-0.07811729640270468,-0.006446273871873867
GO:0045619,regulation of lymphocyte differentiation,GO:BP,3,-0.017288668110084775,-0.010889595194130124,-0.006399072915954651
GO:0005215,transporter activity,GO:MF,21,0.11826225053052444,0.12465948716425286,-0.0063972366337284176
GO:0031647,regulation of protein stability,GO:BP,9,0.2278972346818165,0.23425528065887152,-0.006358045977055027
REAC:R-HSA-3000480,Scavenging by Class A Receptors,REAC,3,0.1610835365091446,0.1547310308256466,0.006352505683497989
GO:0060627,regulation of vesicle-mediated transport,GO:BP,22,0.2040091767105306,0.19765819566909473,0.00635098104143586
KEGG:04610,Complement and coagulation cascades,KEGG,43,0.173284661014493,0.17959521311638776,-0.0063105521018947675
GO:0051239,regulation of multicellular organismal process,GO:BP,74,0.04064560661827413,0.04693075197680641,-0.006285145358532286
WP:WP706,Sudden infant death syndrome SIDS susceptibility pathways,WP,3,0.4054074002902029,0.4116408656915905,-0.006233465401387583
REAC:R-HSA-74160,Gene expression (Transcription),REAC,16,0.08965487982972184,0.09585807083191754,-0.006203191002195699
GO:0097447,dendritic tree,GO:CC,12,0.24897203508560853,0.2428734227600471,0.006098612325561442
GO:0030425,dendrite,GO:CC,12,0.24897203508560853,0.2428734227600471,0.006098612325561442
GO:0098827,endoplasmic reticulum subcompartment,GO:CC,10,-0.0800883009484398,-0.07399016488515534,-0.006098136063284465
GO:0005789,endoplasmic reticulum membrane,GO:CC,10,-0.0800883009484398,-0.07399016488515534,-0.006098136063284465
GO:0048667,cell morphogenesis involved in neuron differentiation,GO:BP,9,0.09897801737408443,0.09291605464867228,0.006061962725412151
GO:0120039,plasma membrane bounded cell projection morphogenesis,GO:BP,9,0.09897801737408443,0.09291605464867228,0.006061962725412151
GO:0048812,neuron projection morphogenesis,GO:BP,9,0.09897801737408443,0.09291605464867228,0.006061962725412151
GO:0048858,cell projection morphogenesis,GO:BP,9,0.09897801737408443,0.09291605464867228,0.006061962725412151
GO:0030182,neuron differentiation,GO:BP,20,0.09367252297134745,0.09973375970917876,-0.0060612367378313076
GO:0048699,generation of neurons,GO:BP,20,0.09367252297134745,0.09973375970917876,-0.0060612367378313076
GO:0022008,neurogenesis,GO:BP,22,0.09312798536842762,0.0991884167099656,-0.0060604313415379835
WP:WP5426,HDAC6 interactions in the central nervous system,WP,4,0.17391283402701727,0.1678751421394013,0.006037691887615965
GO:0016746,acyltransferase activity,GO:MF,10,0.1446294184653702,0.1385970984720701,0.006032319993300089
GO:0005770,late endosome,GO:CC,9,0.1442533680146781,0.13822538836054002,0.006027979654138094
GO:0002695,negative regulation of leukocyte activation,GO:BP,4,0.02775404236190243,0.021731630786830096,0.006022411575072335
KEGG:04668,TNF signaling pathway,KEGG,3,-0.02011145024047355,-0.02613349722742898,0.00602204698695543
GO:1902106,negative regulation of leukocyte differentiation,GO:BP,3,0.022287911042133395,0.028206410582758017,-0.005918499540624622
GO:1903707,negative regulation of hemopoiesis,GO:BP,3,0.022287911042133395,0.028206410582758017,-0.005918499540624622
GO:0050790,regulation of catalytic activity,GO:BP,25,0.21563324332886197,0.2097317239276466,0.0059015194012153604
GO:0051128,regulation of cellular component organization,GO:BP,59,0.15380809501943787,0.15969022583648346,-0.005882130817045583
GO:0030155,regulation of cell adhesion,GO:BP,18,-0.10627204382765665,-0.10042346419541318,-0.0058485796322434724
GO:0031102,neuron projection regeneration,GO:BP,3,0.14187113599594997,0.14769614855067265,-0.005825012554722675
GO:0031103,axon regeneration,GO:BP,3,0.14187113599594997,0.14769614855067265,-0.005825012554722675
GO:0048678,response to axon injury,GO:BP,3,0.14187113599594997,0.14769614855067265,-0.005825012554722675
GO:0051606,detection of stimulus,GO:BP,8,0.2693016683894538,0.2634889846001628,0.005812683789291007
GO:0080090,regulation of primary metabolic process,GO:BP,70,0.1217726668256089,0.11597222515217512,0.005800441673433784
GO:0000724,double-strand break repair via homologous recombination,GO:BP,3,-0.11597669537483542,-0.12176985476540007,0.005793159390564656
GO:0010569,regulation of double-strand break repair via homologous recombination,GO:BP,3,-0.11597669537483542,-0.12176985476540007,0.005793159390564656
GO:0000018,regulation of DNA recombination,GO:BP,3,-0.11597669537483542,-0.12176985476540007,0.005793159390564656
GO:0000725,recombinational repair,GO:BP,3,-0.11597669537483542,-0.12176985476540007,0.005793159390564656
GO:0006310,DNA recombination,GO:BP,3,-0.11597669537483542,-0.12176985476540007,0.005793159390564656
GO:0031491,nucleosome binding,GO:MF,4,-0.11597669537483542,-0.12176985476540007,0.005793159390564656
GO:1990777,lipoprotein particle,GO:CC,16,0.13593008475608098,0.13013850636439178,0.0057915783916892005
GO:0034358,plasma lipoprotein particle,GO:CC,16,0.13593008475608098,0.13013850636439178,0.0057915783916892005
GO:0032994,protein-lipid complex,GO:CC,16,0.13593008475608098,0.13013850636439178,0.0057915783916892005
GO:0031344,regulation of cell projection organization,GO:BP,8,0.14760759694465042,0.14183214900185523,0.005775447942795192
GO:0120035,regulation of plasma membrane bounded cell projection organization,GO:BP,8,0.14760759694465042,0.14183214900185523,0.005775447942795192
REAC:R-HSA-8964058,HDL remodeling,REAC,5,0.29859310858459603,0.29284405606892067,0.005749052515675368
GO:0035639,purine ribonucleoside triphosphate binding,GO:MF,31,-0.11439512785752075,-0.12010002445385633,0.005704896596335579
WP:WP5323,Fatty acid and lipoprotein transport in hepatocytes,WP,7,0.1476777734483681,0.15336967431531903,-0.0056919008669509275
GO:0002218,activation of innate immune response,GO:BP,8,-0.22865909159339975,-0.2343447075138148,0.005685615920415055
GO:0002221,pattern recognition receptor signaling pathway,GO:BP,8,-0.22865909159339975,-0.2343447075138148,0.005685615920415055
GO:0002758,innate immune response-activating signaling pathway,GO:BP,8,-0.22865909159339975,-0.2343447075138148,0.005685615920415055
REAC:R-HSA-597592,Post-translational protein modification,REAC,35,0.2276800366063056,0.23327256917346686,-0.0055925325671612736
GO:0005198,structural molecule activity,GO:MF,25,0.03438416953149724,0.028860328721685556,0.005523840809811685
GO:0035821,modulation of process of another organism,GO:BP,6,0.19440478036619252,0.19991161064385596,-0.005506830277663438
GO:1901700,response to oxygen-containing compound,GO:BP,39,0.21232276131028702,0.21780720371947648,-0.005484442409189466
GO:0005102,signaling receptor binding,GO:MF,40,0.10553056542975199,0.11100521054725825,-0.005474645117506255
GO:0051346,negative regulation of hydrolase activity,GO:BP,6,0.12269765328094306,0.11724169441557679,0.0054559588653662755
GO:0005739,mitochondrion,GO:CC,21,0.10609944550562492,0.11155141663936377,-0.005451971133738853
GO:0034364,high-density lipoprotein particle,GO:CC,14,0.13608632782906765,0.1306544794601791,0.005431848368888548
GO:0015850,organic hydroxy compound transport,GO:BP,16,0.11487620352041708,0.10944936116275808,0.005426842357659001
GO:0050808,synapse organization,GO:BP,12,0.08806826495773393,0.09349479686626248,-0.005426531908528556
GO:0015748,organophosphate ester transport,GO:BP,9,0.167299574794362,0.1726983492952407,-0.005398774500878695
GO:0002768,immune response-regulating cell surface receptor signaling pathway,GO:BP,11,-0.24455473561740773,-0.24989414042112248,0.0053394048037147535
GO:0098771,inorganic ion homeostasis,GO:BP,11,0.2079181736182826,0.21324881996150197,-0.005330646343219364
GO:0055080,monoatomic cation homeostasis,GO:BP,11,0.2079181736182826,0.21324881996150197,-0.005330646343219364
GO:0050801,monoatomic ion homeostasis,GO:BP,11,0.2079181736182826,0.21324881996150197,-0.005330646343219364
REAC:R-HSA-2980736,Peptide hormone metabolism,REAC,4,0.1754555325351892,0.17020542209879844,0.005250110436390759
GO:0015914,phospholipid transport,GO:BP,8,0.1674722221299407,0.1726983492952407,-0.005226127165299993
GO:0033700,phospholipid efflux,GO:BP,6,0.16804503098128318,0.17325479199559576,-0.005209761014312586
GO:0048609,multicellular organismal reproductive process,GO:BP,17,0.31031894991910197,0.31549424670609205,-0.00517529678699008
GO:0099081,supramolecular polymer,GO:CC,24,-0.27040794921623335,-0.2652626395984174,-0.005145309617815952
GO:0099512,supramolecular fiber,GO:CC,24,-0.27040794921623335,-0.2652626395984174,-0.005145309617815952
GO:0042578,phosphoric ester hydrolase activity,GO:MF,6,-0.02045635649377363,-0.01534685337196202,-0.005109503121811611
GO:0016241,regulation of macroautophagy,GO:BP,3,-0.010500957445124939,-0.005424891986259328,-0.005076065458865611
GO:0002831,regulation of response to biotic stimulus,GO:BP,16,0.25958693992285026,0.26463964352702923,-0.005052703604178976
GO:0032555,purine ribonucleotide binding,GO:MF,32,-0.11505097561755333,-0.12010002445385633,0.0050490488363029995
GO:0032553,ribonucleotide binding,GO:MF,32,-0.11505097561755333,-0.12010002445385633,0.0050490488363029995
GO:0006915,apoptotic process,GO:BP,38,0.16099468649167237,0.16601237645377415,-0.005017689962101779
GO:0034385,triglyceride-rich plasma lipoprotein particle,GO:CC,10,0.12411456001155681,0.12911034932246876,-0.0049957893109119494
GO:0034361,very-low-density lipoprotein particle,GO:CC,10,0.12411456001155681,0.12911034932246876,-0.0049957893109119494
GO:0034372,very-low-density lipoprotein particle remodeling,GO:BP,5,0.1977446098968048,0.20271359197605157,-0.004968982079246759
GO:0034370,triglyceride-rich lipoprotein particle remodeling,GO:BP,5,0.1977446098968048,0.20271359197605157,-0.004968982079246759
GO:0055090,acylglycerol homeostasis,GO:BP,6,0.19678830355255383,0.20175228437762022,-0.004963980825066383
GO:0012501,programmed cell death,GO:BP,40,0.16080707410559286,0.16574724978976624,-0.004940175684173376
GO:0008219,cell death,GO:BP,40,0.16080707410559286,0.16574724978976624,-0.004940175684173376
GO:0060205,cytoplasmic vesicle lumen,GO:CC,34,0.3221882932175775,0.31725433281169746,0.004933960405880067
GO:0031983,vesicle lumen,GO:CC,34,0.3221882932175775,0.31725433281169746,0.004933960405880067
GO:0034774,secretory granule lumen,GO:CC,34,0.3221882932175775,0.31725433281169746,0.004933960405880067
GO:0016810,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",GO:MF,7,0.053619282249660505,0.058542256242566704,-0.004922973992906199
GO:0012505,endomembrane system,GO:CC,99,0.22170520655567136,0.22660386513759537,-0.004898658581924009
GO:0090288,negative regulation of cellular response to growth factor stimulus,GO:BP,3,0.1552831663488712,0.16018172405506764,-0.0048985577061964325
GO:0008047,enzyme activator activity,GO:MF,12,0.1510791538962422,0.14621301235980327,0.004866141536438939
GO:0030301,cholesterol transport,GO:BP,14,0.12446155775261267,0.11960981730561597,0.004851740446996697
GO:0015918,sterol transport,GO:BP,14,0.12446155775261267,0.11960981730561597,0.004851740446996697
GO:0042627,chylomicron,GO:CC,7,0.18372161222943592,0.1885715475548631,-0.004849935325427185
GO:0170062,nutrient storage,GO:BP,5,0.09940340823188495,0.10422044327394761,-0.004817035042062656
GO:0019915,lipid storage,GO:BP,5,0.09940340823188495,0.10422044327394761,-0.004817035042062656
GO:0009059,macromolecule biosynthetic process,GO:BP,98,0.030245875520018943,0.03503462937281131,-0.004788753852792364
GO:0140993,histone modifying activity,GO:MF,3,-0.0003314659197012139,-0.005108382464665562,0.004776916544964348
WP:WP3644,NAD metabolism,WP,3,-0.01544207813269212,-0.020217160414648716,0.004775082281956597
WP:WP3645,NAD biosynthetic pathways,WP,4,-0.01544207813269212,-0.020217160414648716,0.004775082281956597
GO:0007623,circadian rhythm,GO:BP,3,-0.01544207813269212,-0.020217160414648716,0.004775082281956597
GO:0051287,NAD binding,GO:MF,3,-0.01544207813269212,-0.020217160414648716,0.004775082281956597
GO:0051338,regulation of transferase activity,GO:BP,11,0.15173022780835113,0.1469562850401448,0.004773942768206335
GO:0099080,supramolecular complex,GO:CC,26,-0.2710603167058935,-0.266291312203004,-0.004769004502889473
GO:0051250,negative regulation of lymphocyte activation,GO:BP,3,0.02775404236190243,0.023005177810748394,0.0047488645511540375
GO:0009595,detection of biotic stimulus,GO:BP,4,0.2704451951088075,0.26571474861164784,0.004730446497159646
GO:0098581,detection of external biotic stimulus,GO:BP,4,0.2704451951088075,0.26571474861164784,0.004730446497159646
GO:0002366,leukocyte activation involved in immune response,GO:BP,3,-0.005986196274526068,-0.00126256815421728,-0.004723628120308788
GO:0052547,regulation of peptidase activity,GO:BP,4,-0.2173975257042488,-0.2221135496802432,0.004716023975994382
GO:0010466,negative regulation of peptidase activity,GO:BP,4,-0.2173975257042488,-0.2221135496802432,0.004716023975994382
GO:0001906,cell killing,GO:BP,22,0.06212824978759287,0.06683943462300933,-0.0047111848354164584
GO:0034368,protein-lipid complex remodeling,GO:BP,10,0.14022306165508477,0.14491821187727277,-0.004695150222187999
GO:0034369,plasma lipoprotein particle remodeling,GO:BP,10,0.14022306165508477,0.14491821187727277,-0.004695150222187999
GO:0071825,protein-lipid complex organization,GO:BP,10,0.14022306165508477,0.14491821187727277,-0.004695150222187999
GO:0034367,protein-containing complex remodeling,GO:BP,10,0.14022306165508477,0.14491821187727277,-0.004695150222187999
GO:0071827,plasma lipoprotein particle organization,GO:BP,10,0.14022306165508477,0.14491821187727277,-0.004695150222187999
GO:0006066,alcohol metabolic process,GO:BP,13,0.1017705163850668,0.09708231552436325,0.004688200860703554
GO:0042180,ketone metabolic process,GO:BP,10,0.15716924798560086,0.16182157819113946,-0.004652330205538596
GO:0097006,regulation of plasma lipoprotein particle levels,GO:BP,12,0.13976847780860605,0.1443862073592134,-0.004617729550607352
GO:0032787,monocarboxylic acid metabolic process,GO:BP,11,0.14805905640639033,0.15264815845778762,-0.004589102051397287
GO:0004175,endopeptidase activity,GO:MF,48,0.26526032895157997,0.26984854483329734,-0.004588215881717372
GO:0003006,developmental process involved in reproduction,GO:BP,18,0.31031894991910197,0.3148888881738917,-0.0045699382547897405
GO:0008284,positive regulation of cell population proliferation,GO:BP,19,-0.1373317276842187,-0.1327758271279708,-0.004555900556247883
GO:0023052,signaling,GO:BP,95,0.08201319286572628,0.0774823093539542,0.0045308835117720825
GO:0050764,regulation of phagocytosis,GO:BP,8,0.3445444216385714,0.34906193673862956,-0.004517515100058156
GO:0050766,positive regulation of phagocytosis,GO:BP,8,0.3445444216385714,0.34906193673862956,-0.004517515100058156
GO:0043266,regulation of potassium ion transport,GO:BP,4,-0.04253443526170799,-0.03801803226826954,-0.004516402993438452
